iter	Passed	Remaining
0	163	162981
1	164	82021
2	165	55137
3	166	41515
4	167	33370
5	168	27946
6	169	24070
7	170	21155
8	171	18898
9	172	17079
10	173	15608
11	174	14377
12	175	13348
13	177	12522
14	178	11752
15	180	11076
16	181	10476
17	182	9954
18	183	9477
19	185	9066
20	186	8683
21	187	8324
22	188	7999
23	189	7696
24	190	7416
25	191	7160
26	192	6922
27	192	6698
28	193	6494
29	195	6316
30	196	6136
31	197	5969
32	198	5813
33	199	5665
34	200	5524
35	201	5393
36	202	5272
37	203	5152
38	204	5040
39	205	4934
40	206	4829
41	207	4731
42	208	4638
43	209	4548
44	210	4470
45	211	4390
46	212	4318
47	214	4245
48	215	4176
49	216	4106
50	217	4039
51	217	3974
52	218	3912
53	219	3850
54	220	3792
55	221	3737
56	222	3682
57	223	3634
58	224	3583
59	225	3533
60	226	3486
61	227	3440
62	228	3395
63	229	3351
64	230	3310
65	231	3271
66	232	3231
67	232	3192
68	233	3154
69	234	3117
70	235	3082
71	236	3048
72	237	3016
73	238	2983
74	239	2950
75	240	2918
76	240	2887
77	241	2857
78	242	2829
79	243	2802
80	244	2775
81	245	2750
82	246	2719
83	247	2693
84	247	2668
85	248	2645
86	249	2623
87	251	2601
88	251	2578
89	252	2554
90	253	2532
91	254	2509
92	255	2488
93	255	2467
94	256	2446
95	257	2425
96	258	2405
97	259	2385
98	260	2366
99	260	2348
100	261	2330
101	262	2313
102	263	2295
103	264	2282
104	265	2266
105	267	2258
106	268	2243
107	269	2228
108	270	2214
109	271	2199
110	272	2184
111	273	2170
112	274	2156
113	275	2141
114	276	2128
115	277	2115
116	278	2100
117	279	2087
118	280	2075
119	281	2063
120	282	2050
121	283	2036
122	283	2024
123	285	2013
124	286	2004
125	287	1992
126	288	1980
127	289	1969
128	290	1958
129	291	1947
130	298	1977
131	299	1966
132	300	1956
133	301	1945
134	302	1935
135	303	1925
136	304	1915
137	305	1907
138	306	1898
139	307	1889
140	308	1879
141	309	1867
142	310	1858
143	310	1848
144	312	1839
145	312	1830
146	313	1821
147	314	1812
148	315	1803
149	316	1794
150	317	1786
151	318	1777
152	319	1769
153	320	1761
154	321	1753
155	322	1747
156	323	1739
157	325	1732
158	326	1725
159	327	1717
160	327	1708
161	328	1701
162	329	1693
163	330	1686
164	331	1679
165	332	1671
166	333	1664
167	334	1658
168	335	1652
169	337	1645
170	338	1638
171	338	1631
172	339	1623
173	340	1617
174	341	1612
175	342	1605
176	343	1599
177	344	1592
178	345	1585
179	346	1578
180	347	1572
181	348	1566
182	349	1559
183	350	1553
184	351	1547
185	352	1541
186	353	1535
187	354	1529
188	355	1524
189	356	1518
190	357	1512
191	358	1507
192	359	1501
193	361	1500
194	362	1496
195	363	1491
196	368	1501
197	369	1497
198	370	1492
199	371	1487
200	372	1481
201	373	1475
202	374	1470
203	375	1465
204	376	1461
205	377	1456
206	379	1453
207	381	1451
208	382	1447
209	383	1443
210	384	1439
211	385	1434
212	387	1430
213	388	1425
214	389	1420
215	390	1416
216	391	1412
217	392	1409
218	393	1404
219	395	1401
220	396	1399
221	398	1397
222	400	1394
223	401	1391
224	402	1387
225	404	1385
226	405	1382
227	407	1378
228	408	1374
229	409	1370
230	410	1366
231	411	1362
232	412	1358
233	413	1354
234	414	1350
235	416	1348
236	417	1345
237	419	1341
238	420	1337
239	421	1333
240	421	1329
241	422	1324
242	423	1320
243	424	1316
244	425	1311
245	426	1307
246	427	1303
247	428	1298
248	429	1294
249	430	1290
250	432	1290
251	434	1291
252	436	1287
253	437	1284
254	438	1280
255	438	1275
256	440	1273
257	441	1269
258	442	1266
259	443	1263
260	444	1259
261	445	1255
262	447	1252
263	448	1250
264	449	1247
265	451	1244
266	452	1243
267	453	1239
268	455	1236
269	456	1233
270	457	1229
271	457	1225
272	459	1222
273	459	1218
274	461	1215
275	462	1212
276	463	1208
277	463	1204
278	464	1201
279	465	1197
280	466	1193
281	467	1190
282	468	1186
283	469	1182
284	470	1179
285	471	1176
286	472	1173
287	473	1170
288	474	1167
289	475	1163
290	476	1160
291	477	1156
292	478	1153
293	479	1150
294	480	1148
295	481	1145
296	482	1141
297	483	1138
298	484	1135
299	485	1133
300	487	1131
301	488	1128
302	489	1126
303	490	1123
304	491	1120
305	492	1117
306	493	1114
307	494	1110
308	495	1107
309	496	1104
310	497	1101
311	498	1098
312	499	1095
313	500	1092
314	501	1089
315	502	1087
316	503	1084
317	504	1081
318	505	1078
319	506	1075
320	507	1073
321	508	1070
322	509	1068
323	510	1065
324	511	1063
325	512	1060
326	513	1057
327	514	1054
328	515	1051
329	516	1048
330	517	1046
331	518	1044
332	520	1041
333	521	1039
334	522	1036
335	523	1034
336	524	1031
337	525	1029
338	532	1038
339	534	1036
340	535	1034
341	536	1032
342	537	1029
343	538	1027
344	540	1025
345	541	1024
346	543	1022
347	544	1020
348	546	1019
349	547	1017
